# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu Oct 12 03:39:53 2017
#
# COLUMN pl_bmassj:      Planet Mass or M*sin(i)[Jupiter mass]
# COLUMN pl_bmassjerr1:  Planet Mass or M*sin(i)Upper Unc. [Jupiter mass]
# COLUMN pl_bmassjerr2:  Planet Mass or M*sin(i)Lower Unc. [Jupiter mass]
# COLUMN pl_bmassjlim:   Planet Mass or M*sin(i)Limit Flag
#
rowid	pl_bmassj	pl_bmassjerr1	pl_bmassjerr2	pl_bmassjlim
478	0.00850	0.00090	-0.00090	0
479	0.00760	0.00130	-0.00130	0
480	0.01500	0.00200	-0.00200	0
481	0.01501	0.00302	-0.00271	0
482	0.52000	0.08200	-0.08200	0
483	9.90000	1.70000	-1.70000	0
484	1.99000	0.05000	-0.05000	0
485	1.40000	0.08000	-0.08000	0
486				
487	1.29000	0.11000	-0.11000	0
488	1.90000			0
489	0.45000			0
490	2.30000	0.40000	-0.40000	0
491	4.50000			0
492	19.20000	1.40000	-1.40000	0
493	0.02000			0
494	0.33000			0
495	1.26000	0.13000	-0.13000	0
496	1.82000			0
497	1.47000	0.20000	-0.12000	0
498	0.65000			0
499	1.39000	0.11000	-0.11000	0
500	2.60000	0.15000	-0.15000	0
501	13.00000	0.80000	-0.80000	0
502	0.21000	0.02000	-0.02000	0
503	10.39000	0.09000	-0.09000	0
504	0.01491	0.00060	-0.00060	0
505	0.01372	0.00069	-0.00069	0
506	0.05088	0.00201	-0.00201	-1
507	0.02297	0.00126	-0.00126	-1
508	0.03400	0.00400	-0.00400	0
509	0.34000	0.02000	-0.02000	0
510	1.00000			0
511	0.06607	0.00440	-0.00440	0
512	15.10000	0.85000	-0.85000	0
513	11.10000	1.80000	-1.80000	0
514	1.06000	0.09000	-0.09000	0
515	1.45000	0.30000	-0.30000	0
516	3.18000	0.15000	-0.15000	0
517	3.09000	0.79000	-0.79000	0
518	1.61000	0.14000	-0.14000	0
519	1.56000	0.11000	-0.11000	0
520	1.90000	0.67000	-0.53000	0
521	7.75000	0.65000	-0.65000	0
522	5.97000	0.42000	-0.42000	0
523	0.71000			0
524	13.65000	0.97000	-0.97000	0
525	2.45000	0.21000	-0.21000	0
526	1.50000	0.20000	-0.20000	0
527	1.08000			0
528	6.57500			0
529	7.71000	0.39000	-0.39000	0
530	5.21000			0
531	5.30000			0
532	4.01000	0.49000	-0.49000	0
533	9.40000	1.30000	-1.30000	0
534	0.95000	0.10000	-0.10000	0
535	0.48000			0
536	1.56000	0.14000	-0.14000	0
537	1.45000	0.14000	-0.14000	0
538	0.66500	0.00900	-0.00700	0
539	0.16200	0.01100	-0.04000	0
540	5.41500	0.23900	-1.21400	0
541	5.59000	0.33000	-0.33000	0
542	1.16000	0.10000	-0.06000	0
543	0.91700	0.03300	-0.03300	0
